TRCID	pmid	publicationyear	firstauthor	journalbook	title
253	26915843	2016	Lentine KL	Transplant Proc	Variation in Comedication Use According to Kidney Transplant Immunosuppressive Regimens: Application of Integrated Registry and Pharmacy Claims Data
254	26950718	2016	Alhamad T	Transplantation	Pretransplant Midodrine Use: A Newly Identified Risk Marker for Complications After Kidney Transplantation
255	27111897	2016	Kucirka LM	Am J Transplant	Induction Immunosuppression and Clinical Outcomes in Kidney Transplant Recipients Infected With Human Immunodeficiency Virus
256	27172445	2016	Muzaale AD	Am J Transplant	Recipient Outcomes Following Transplantation of Allografts From Live Kidney Donors Who Subsequently Developed End-Stage Renal Disease
257	27191202	2016	Cosar AM	Curr Opin Infect Dis	Hepatitis C following liver transplantation: current approach and future research opportunities
258	27459138	2016	Lopez J	Orthopedics	A New Culture of Transparency: Industry Payments to Orthopedic Surgeons
259	27564782	2016	Dharnidharka VR	Transpl Int	Differential risks for adverse outcomes 3 years after kidney transplantation based on initial immunosuppression regimen: a national study
260	27769175	2016	Tan J	BMC Nephrol	Warfarin use and stroke, bleeding and mortality risk in patients with end stage renal disease and atrial fibrillation: a systematic review and meta-analysis
261	27305590	2017	Shelton BA	Am J Transplant	Increased Mortality and Graft Loss With Kidney Retransplantation Among Human Immunodeficiency Virus (HIV)-Infected Recipients
262	27457221	2017	Chow EK	Am J Transplant	Waitlist Outcomes of Liver Transplant Candidates Who Were Reprioritized Under Share 35
263	27589826	2017	Lentine KL	Am J Transplant	Predonation Prescription Opioid Use: A Novel Risk Factor for Readmission After Living Kidney Donation
264	28027603	2017	Randall HB	Liver Transpl	Survival implications of opioid use before and after liver transplantation
265	28041626	2017	Locke JE	Kidney Int	Obesity increases the risk of end-stage renal disease among living kidney donors
266	28075034	2017	Locke JE	Clin Transplant	Abdominal lean muscle is associated with lower mortality among kidney waitlist candidates
267	28089555	2017	Le J	Transplant Rev (Orlando)	Epstein-Barr virus and renal transplantation
268	28120282	2017	Tan J	J Nephrol	Treatment of atrial fibrillation with warfarin among older adults with end stage renal disease
269	28207630	2017	OʼConnell PJ	Transplantation	Clinical Trials for Immunosuppression in Transplantation: The Case for Reform and Change in Direction
270	28232406	2017	Locke JE	Clin J Am Soc Nephrol	Access to Kidney Transplantation among HIV-Infected Waitlist Candidates
271	28342085	2017	Muzaale AD	Eur J Epidemiol	Concerns about the long-term safety of live kidney donors are justified
272	28403566	2017	Lonze BE	Transpl Int	Outcomes and risk stratification for late antibody-mediated rejection in recipients of ABO-incompatible kidney transplants: a retrospective study
273	28422306	2017	Lai JC	Hepatology	Development of a novel frailty index to predict mortality in patients with end-stage liver disease
274	28450534	2017	Massie AB	J Am Soc Nephrol	Quantifying Postdonation Risk of ESRD in Living Kidney Donors
275	28457016	2017	Alejo JL	Clin Transplant	Patterns of primary care utilization before and after living kidney donation
276	28742951	2017	Hobeika MJ	Am J Transplant	PROviding Better ACcess To ORgans: A comprehensive overview of organ-access initiatives from the ASTS PROACTOR Task Force
277	28744966	2017	Henderson ML	Am J Transplant	Social media and organ donation: Ethically navigating the next frontier
278	28935852	2017	Niranjan-Azadi AM	Ann Transplant	Single-Center Experience in Pre-transplant Hepatitis C Virus (HCV) Treatment Among Living Donor Liver Transplant Candidates: Bridging the Direct-Acting Antivirals (DAA)
279	29032601	2017	Kumar K	Clin Transplant	Persistent regional and racial disparities in nondirected living kidney donation
280	28771882	2018	Lentine KL	Transpl Int	Antidepressant medication use before and after kidney transplant: implications for outcomes - a retrospective study
281	28779557	2018	Saberi B	Liver Transpl	Utilization of hepatitis C virus RNA-positive donor liver for transplant to hepatitis C virus RNA-negative recipient
282	28834181	2018	Orandi BJ	Am J Transplant	Hospital readmissions following HLA-incompatible live donor kidney transplantation: A multi-center study
283	28885489	2018	McAdams-DeMarco MA	Transplantation	Frailty and Postkidney Transplant Health-Related Quality of Life
284	28949096	2018	Naik AS	Am J Transplant	Temporal trends, center-level variation, and the impact of prevalent state obesity rates on acceptance of obese living kidney donors
285	28987015	2018	Dharnidharka VR	Transpl Int	Center practice drives variation in choice of US kidney transplant induction therapy: a retrospective analysis of contemporary practice
286	29042454	2018	Lefaucheur C	J Am Soc Nephrol	Complement-Activating Anti-HLA Antibodies in Kidney Transplantation: Allograft Gene Expression Profiling and Response to Treatment
287	29045352	2018	Mogul DB	J Pediatr Gastroenterol Nutr	Impact of Race and Ethnicity on Outcomes for Children Waitlisted for Pediatric Liver Transplantation
288	29068176	2018	Ruck JM	Am J Transplant	Factors associated with perceived donation-related financial burden among living kidney donors
289	29116674	2018	Bowring MG	Am J Transplant	Turn down for what? Patient outcomes associated with declining increased infectious risk kidneys
290	29165871	2018	Treat E	Am J Transplant	Shipping living donor kidneys and transplant recipient outcomes
291	29222929	2018	Cash A	Clin Transplant	HIV+ deceased donor referrals: A national survey of organ procurement organizations
292	29232040	2018	Zhou S	Am J Transplant	Geographic disparity in kidney transplantation under KAS
293	29243394	2018	Haas M	Am J Transplant	The Banff 2017 Kidney Meeting Report: Revised diagnostic criteria for chronic active T cell-mediated rejection, antibody-mediated rejection, and prospects for integrative endpoints for next-generation clinical trials
294	29281129	2018	Ruck JM	Clin Transplant	Electronic messaging and communication with living kidney donors
295	29292861	2018	Montgomery RA	Am J Transplant	Antibody-mediated rejection: New approaches in prevention and management
296	29316203	2018	Wey A	Liver Transpl	Offer acceptance practices and geographic variability in allocation model for end-stage liver disease at transplant
297	29316310	2018	Luo X	Am J Transplant	MELD as a metric for survival benefit of liver transplantation
298	29329515	2018	Van Pilsum Rasmussen S	BMC Nephrol	Engaging clinicians and patients to assess and improve frailty measurement in adults with end stage renal disease
299	29333639	2018	Shelton BA	Am J Transplant	Decreasing deceased donor transplant rates among children (≤6 years) under the new kidney allocation system
300	29380529	2018	Lai JC	Am J Transplant	Physical frailty after liver transplantation
301	29433426	2018	Schoenborn NL	BMC Geriatr	Older adults' perceptions and informational needs regarding frailty
302	29437286	2018	Holscher CM	Am J Transplant	Kidney exchange match rates in a large multicenter clearinghouse
303	29474675	2018	Sandal S	Nephrol Dial Transplant	Machine perfusion and long-term kidney transplant recipient outcomes across allograft risk strata
304	29498196	2018	Lentine KL	Am J Transplant	Prescription opioid use before and after kidney transplant: Implications for posttransplant outcomes
305	29512868	2018	Werbel WA	Transpl Infect Dis	Lymphopenia is associated with late onset Pneumocystis jirovecii pneumonia in solid organ transplantation
306	29577448	2018	DiBrito SR	Clin Transplant	Surgical approach, cost, and complications of appendectomy in kidney transplant recipients
307	29603640	2018	Flechner SM	Am J Transplant	The first 9 years of kidney paired donation through the National Kidney Registry: Characteristics of donors and recipients compared with National Live Donor Transplant Registries
308	29655237	2018	Baksh SN	Pharmacoepidemiol Drug Saf	Cardiovascular safety signals with dipeptidyl peptidase-4 inhibitors: A disproportionality analysis among high-risk patients
309	29677074	2018	McAdams-DeMarco MA	Transplantation	Frailty, Inflammatory Markers, and Waitlist Mortality Among Patients With End-stage Renal Disease in a Prospective Cohort Study
310	29685884	2018	Haugen CE	J Am Soc Nephrol	Incidence, Risk Factors, and Sequelae of Post-kidney Transplant Delirium
311	29688995	2018	Zhou S	Transplantation	Correlation Between Kidney Transplant Outcome Metrics and Waitlist Metrics
312	29701909	2018	Axelrod DA	Am J Transplant	The impact of direct-acting antiviral agents on liver and kidney transplant costs and outcomes
313	29724118	2018	Van Pilsum Rasmussen SE	AIDS Care	Perceptions, motivations, and concerns about living organ donation among people living with HIV
314	29791039	2018	Kumar K	Clin Transplant	Racial differences in completion of the living kidney donor evaluation process
315	29802802	2018	Van Pilsum Rasmussen SE	Transpl Int	Reported effects of the Scientific Registry of Transplant Recipients 5-tier rating system on US transplant centers: results of a national survey
316	29884126	2018	Ruck JM	BMC Nephrol	Interviews of living kidney donors to assess donation-related concerns and information-gathering practices
317	29920936	2018	Bowring MG	Am J Transplant	"Consent and labeling in the use of infectious risk donor kidneys: A response to ""Information Overload"""
318	29923365	2018	Adam R	Liver Transpl	A Systematic Review and Meta-Analysis of Cold In Situ Perfusion and Preservation of the Hepatic Allograft: Working Toward a Unified Approach
319	29947471	2018	Durand CM	Am J Transplant	Organs from deceased donors with false-positive HIV screening tests: An unexpected benefit of the HOPE act
320	29952925	2018	Henderson ML	Transplantation	Landscape of Living Multiorgan Donation in the United States: A Registry-Based Cohort Study
321	30046654	2018	Nazzal M	Transplant Direct	Center-driven and Clinically Driven Variation in US Liver Transplant Maintenance Immunosuppression Therapy: A National Practice Patterns Analysis
322	30052316	2018	Luo X	Am J Transplant	MELD allocation system: There is always space to improve
323	30063811	2018	Holscher CM	Am J Transplant	Temporal changes in the composition of a large multicenter kidney exchange clearinghouse: Do the hard-to-match accumulate?
324	30064724	2018	DiBrito SR	Am J Surg	Complications, length of stay, and cost of cholecystectomy in kidney transplant recipients
325	30074638	2018	Van Pilsum Rasmussen SE	Clin Transplant	Knowledge, attitudes, and planned practice of HIV-positive to HIV-positive transplantation in US transplant centers
326	30086198	2018	Holscher CM	Am J Transplant	Living donor postnephrectomy kidney function and recipient graft loss: A dose-response relationship
327	30093374	2018	McAdams-DeMarco MA	Clin J Am Soc Nephrol	Dementia, Alzheimer's Disease, and Mortality after Hemodialysis Initiation
328	30144258	2018	Shaffer AA	Transpl Infect Dis	Changes in practice and perception of hepatitis C and liver transplantation: Results of a national survey
329	30152107	2018	Konel JM	Clin Transplant	Depressive symptoms, frailty, and adverse outcomes among kidney transplant recipients
330	30169460	2018	Ruck JM	Curr Opin Nephrol Hypertens	Expanding deceased donor kidney transplantation: medical risk, infectious risk, hepatitis C virus, and HIV
331	30171817	2018	Bynum JP	Transfusion	Transfusion of leukoreduced blood products and risk of antibody-mediated rejection of renal allografts
332	30176670	2018	Warsame F	Am J Nephrol	Intradialytic Activities and Health-Related Quality of Life Among Hemodialysis Patients
333	30180815	2018	Holscher CM	BMC Nephrol	Anxiety, depression, and regret of donation in living kidney donors
334	30197966	2018	Muzaale AD	Kidney Int Rep	Lower Mortality in Living Kidney Donors With ESRD Versus Matched Nondonors With ESRD
335	30198905	2018	Kandathil AJ	J Clin Invest	No recovery of replication-competent HIV-1 from human liver macrophages
336	30340462	2018	Nastasi AJ	BMC Geriatr	Pre-kidney transplant lower extremity impairment and transplant length of stay: a time-to-discharge analysis of a prospective cohort study
337	29219209	2019	Tan J	Nephrology (Carlton)	Warfarin use and the risk of stroke, bleeding, and mortality in older adults on dialysis with incident atrial fibrillation
338	29709366	2019	Muzaale AD	Surgery	Databases for surgical health services research: National Health and Nutrition Examination Survey
339	29868775	2019	Fitzpatrick J	Nephrol Dial Transplant	Frailty, body composition and the risk of mortality in incident hemodialysis patients: the Predictors of Arrhythmic and Cardiovascular Risk in End Stage Renal Disease study
340	29935051	2019	Bae S	Am J Transplant	Who can tolerate a marginal kidney? Predicting survival after deceased donor kidney transplant by donor-recipient combination
341	29962069	2019	Warsame F	Am J Transplant	Limited health literacy and adverse outcomes among kidney transplant candidates
342	30130329	2019	Ruck JM	Transplantation	Temporal Changes in the Impact of HLA Mismatching Among Pediatric Kidney Transplant Recipients
343	30253051	2019	Holscher CM	Am J Transplant	Better graft outcomes from offspring donor kidneys among living donor kidney transplant recipients in the United States
344	30312530	2019	Ishaque T	Am J Transplant	Liver transplantation and waitlist mortality for HCC and non-HCC candidates following the 2015 HCC exception policy change
345	30372592	2019	Jackson KR	Am J Transplant	The national landscape of deceased donor kidney transplantation for the highly sensitized: Transplant rates, waitlist mortality, and posttransplant survival under KAS
346	30372596	2019	Sandal S	Am J Transplant	Induction immunosuppression agents as risk factors for incident cardiovascular events and mortality after kidney transplantation
347	30408329	2019	Garonzik-Wang JM	Am J Transplant	Mitochondrial membrane potential and delayed graft function following kidney transplantation
348	30421841	2019	Ruck JM	Clin Transplant	Use of Twitter in communicating living solid organ donation information to the public: An exploratory study of living donors and transplant professionals
349	30431704	2019	Kosztowski M	Am J Transplant	Geographic disparities in lung transplant rates
350	30462375	2019	McAdams-DeMarco MA	Clin Transplant	Prehabilitation prior to kidney transplantation: Results from a pilot study
351	30506632	2019	Kobashigawa J	Am J Transplant	Report from the American Society of Transplantation on frailty in solid organ transplantation
352	30544114	2019	Daubresse M	Am J Nephrol	Trends in Opioid Prescribing Among Hemodialysis Patients, 2007-2014
353	30604152	2019	Holscher CM	J Nephrol	Transplant waitlisting attenuates the association between hemodialysis access type and mortality
354	30614634	2019	Haugen CE	Am J Transplant	Survival benefit of accepting livers from deceased donors over 70 years old
355	30615253	2019	Al Ammary F	Am J Transplant	The landscape of international living kidney donation in the United States
356	30625489	2019	Pérez Fernández M	Am J Nephrol	Comorbidity, Frailty, and Waitlist Mortality among Kidney Transplant Candidates of All Ages
357	30637443	2019	Miro JM	Intensive Care Med	Challenges in solid organ transplantation in people living with HIV
358	30653826	2019	Holscher CM	Am J Transplant	Offspring living kidney donors should not be ruled out
359	30668935	2019	Lai JC	Gastroenterology	Frailty Associated With Waitlist Mortality Independent of Ascites and Hepatic Encephalopathy in a Multicenter Study
360	30747847	2019	Alhamad T	Transplantation	Cannabis Dependence or Abuse in Kidney Transplantation: Implications for Posttransplant Outcomes
361	30747853	2019	Haugen CE	Transplantation	Outcomes in Older Kidney Transplant Recipients After Prior Nonkidney Transplants
362	30748095	2019	Haugen CE	Am J Transplant	Geographic disparities in liver supply/demand ratio within fixed-distance and fixed-population circles
363	30838775	2019	Alloway RR	Am J Transplant	Rabbit anti-thymocyte globulin for the prevention of acute rejection in kidney transplantation
364	30853386	2019	Hicks CW	J Vasc Surg	Practice patterns in arteriovenous fistula ligation among kidney transplant recipients in the United States Renal Data Systems
365	30861279	2019	Bowring MG	Am J Transplant	Center-level trends in utilization of HCV-exposed donors for HCV-uninfected kidney and liver transplant recipients in the United States
366	30875148	2019	Wasik HL	Am J Transplant	A donor risk index for graft loss in pediatric living donor kidney transplantation
367	30903733	2019	Al Ammary F	Am J Transplant	The changing landscape of live kidney donation in the United States from 2005 to 2017
368	30920681	2019	Durand CM	Transpl Int	Reclaiming missed opportunities: a strategy of targeted direct-acting antiviral prophylaxis for HCV-seronegative recipients of HCV-seropositive donor kidneys
369	31012528	2019	Mankowski MA	Am J Transplant	Accelerating kidney allocation: Simultaneously expiring offers
370	31062464	2019	Jackson KR	Am J Transplant	Pediatric deceased donor kidney transplant outcomes under the Kidney Allocation System
371	31072668	2019	Locke JE	Surgery	Obesity and long-term mortality risk among living kidney donors
372	31101015	2019	Shrestha P	BMC Nephrol	Racial differences in inflammation and outcomes of aging among kidney transplant candidates
373	31126666	2019	Harhay MN	Am J Kidney Dis	Association Between Weight Loss Before Deceased Donor Kidney Transplantation and Posttransplantation Outcomes
374	31140611	2019	Bollinger JM	Clin Transplant	Early experiences of independent advocates for potential HIV+ recipients of HIV+ donor organ transplants
375	31145154	2019	Boyarsky BJ	Curr Opin Organ Transplant	The future of HIV Organ Policy Equity Act is now: the state of HIV+ to HIV+ kidney transplantation in the United States
376	31194892	2019	Eno AK	Clin Transplant	Perspectives on implementing mobile health technology for living kidney donor follow-up: In-depth interviews with transplant providers
377	31215155	2019	Mogul DB	Pediatr Transplant	Barriers to access in pediatric living-donor liver transplantation
378	31232703	2019	Durand CM	J Clin Invest	Bypassing the bottleneck: intentional hepatitis C transmission with organ transplant
379	31279752	2019	Ambinder RF	Biol Blood Marrow Transplant	Allogeneic Hematopoietic Cell Transplant for HIV Patients with Hematologic Malignancies: The BMT CTN-0903/AMC-080 Trial
380	31313464	2019	Luo X	Pediatr Transplant	Predicting chance of liver transplantation for pediatric wait-list candidates
381	31357231	2019	Werbel WA	Transpl Infect Dis	Angioinvasive, cutaneous infection due to Colletotrichum siamense in a stem cell transplant recipient: Report and review of prior cases
382	31397964	2019	Lentine KL	Am J Transplant	Prescription opioid use before and after heart transplant: Associations with posttransplant outcomes
383	31421057	2019	Lentine KL	Clin Transplant	Associations of obesity with antidiabetic medication use after living kidney donation: An analysis of linked national registry and pharmacy fill records
384	31448520	2019	Durand CM	Am J Transplant	Lessons from the real world: HCV-infected donor kidney transplantation as standard practice
385	31509169	2019	Haugen CE	JAMA Surg	Association Between Liver Transplant Wait-list Mortality and Frailty Based on Body Mass Index
386	31530561	2019	Loupy A	BMJ	Prediction system for risk of allograft loss in patients receiving kidney transplants: international derivation and validation study
387	31537534	2019	Holscher CM	Clin J Am Soc Nephrol	Self-Reported Incident Hypertension and Long-Term Kidney Function in Living Kidney Donors Compared with Healthy Nondonors
388	31576370	2019	Lentine KL	Transplant Direct	Postdonation eGFR and New-Onset Antihypertensive Medication Use After Living Kidney Donation
389	31577595	2019	Henderson ML	Curr Opin Organ Transplant	The landscape of vascularized composite allograft donation in the United States
390	31609520	2019	Ting PS	Transpl Infect Dis	Hepatitis C-positive donor liver transplantation for hepatitis C seronegative recipients
391	31701020	2019	Dickerson LK	NPJ Digit Med	Language impairment in adults with end-stage liver disease: application of natural language processing towards patient-generated health records
392	32855901	2019	Liyanage L	Curr Transplant Rep	Living kidney donation in individuals with hepatitis C and HIV infection: rationale and emerging evidence
393	30672803	2020	Haugen CE	Ann Surg	Multicenter Study of Age, Frailty, and Waitlist Mortality Among Liver Transplant Candidates
394	31255336	2020	Holscher CM	Am J Kidney Dis	Transplanting the Untransplantable
395	31278819	2020	Nassiri N	Am J Transplant	"The ""oldest and coldest"" shipped living donor kidneys transplanted through kidney paired donation"
396	31411724	2020	Thomas AG	Nephrol Dial Transplant	Kidney transplant outcomes in recipients with visual, hearing, physical and walking impairments: a prospective cohort study
397	31552699	2020	Henderson ML	Am J Transplant	Living donor program crisis management plans: Current landscape and talking point recommendations
398	31577673	2020	Jackson KR	Transplantation	Posttransplant Outcomes for cPRA-100% Recipients Under the New Kidney Allocation System
399	31608597	2020	Jackson KR	Am J Transplant	Temporal trends in utilization and outcomes of steatotic donor livers in the United States
400	31675457	2020	Durand CM	Am J Transplant	Clarifying the HOPE Act landscape: The challenge of donors with false-positive HIV results
401	31733176	2020	Haugen CE	Am J Transplant	Prevalence of frailty among kidney transplant candidates and recipients in the United States: Estimates from a National Registry and Multicenter Cohort Study
402	31860087	2020	Chu NM	Nephrol Dial Transplant	Functional independence, access to kidney transplantation and waitlist mortality
403	31922651	2020	Verbesey J	Am J Transplant	Early graft losses in paired kidney exchange: Experience from 10 years of the National Kidney Registry
404	31968070	2020	Massie AB	JAMA Surg	Association of Early Postdonation Renal Function With Subsequent Risk of End-Stage Renal Disease in Living Kidney Donors
405	31991481	2020	Shukhman E	Clin Transplant	Evaluation and care of international living kidney donor candidates: Strategies for addressing common considerations and challenges
406	31992572	2020	Leeser DB	Clin J Am Soc Nephrol	Patient and Kidney Allograft Survival with National Kidney Paired Donation
407	31997429	2020	Koraishy FM	Clin Transplant	Impacts of center and clinical factors in antihypertensive medication use after kidney transplantation
408	32012451	2020	Jackson KR	Am J Transplant	Changes in offer and acceptance patterns for pediatric kidney transplant candidates under the new Kidney Allocation System
409	32026618	2020	Messner F	Am J Transplant	Outcomes of simultaneous pancreas and kidney transplantation based on donor resuscitation
410	32027049	2020	Axelrod DA	Clin Transplant	Economic impacts of alternative kidney transplant immunosuppression: A national cohort study
411	32029264	2020	Chu NM	Am J Kidney Dis	Cognitive Function, Access to Kidney Transplantation, and Waitlist Mortality Among Kidney Transplant Candidates With or Without Diabetes
412	32065704	2020	Jackson KR	Am J Transplant	How do highly sensitized patients get kidney transplants in the United States? Trends over the last decade
413	32106202	2020	Holscher CM	Transplantation	Association Between Living Kidney Donor Postdonation Hypertension and Recipient Graft Failure
414	32160339	2020	Qian J	Semin Dial	Selecting important predictors for arteriovenous fistula maturation in older hemodialysis patients by using random survival forests
415	32191296	2020	Harhay MN	Nephrol Dial Transplant	An overview of frailty in kidney transplantation: measurement, management and future considerations
416	32212292	2020	Covarrubias K	Pediatr Transplant	Determinants of length of stay after pediatric liver transplantation
417	32240717	2020	Lai JC	J Hepatol	Changes in frailty are associated with waitlist mortality in patients with cirrhosis
418	32282982	2020	Boyarsky BJ	Am J Transplant	Early impact of COVID-19 on transplant center practices and policies in the United States
419	32330356	2020	Kates OS	Am J Transplant	Earliest cases of coronavirus disease 2019 (COVID-19) identified in solid organ transplant recipients in the United States
420	32342601	2020	Garg N	Am J Transplant	Metabolic, cardiovascular, and substance use evaluation of living kidney donor candidates: US practices in 2017
421	32342620	2020	Garg N	Am J Transplant	The kidney evaluation of living kidney donor candidates: US practices in 2017
422	32342630	2020	Jackson KR	Am J Transplant	Outcomes of cPRA 100% deceased donor kidney transplant recipients under the new Kidney Allocation System: A single-center cohort study
423	32372460	2020	Boyarsky BJ	Am J Transplant	Estimating the potential pool of uncontrolled DCD donors in the United States
424	32399996	2020	Waldram MM	Clin Transplant	Long-term renal function in living kidney donors with simple renal cysts: A retrospective cohort study
425	32400087	2020	Kates OS	Am J Transplant	"Use of SARS-CoV-2-infected deceased organ donors: Should we always ""just say no?"""
426	32430941	2020	Roth AE	Transpl Int	Global kidney exchange should expand wisely
427	32457228	2020	Muzaale AD	Clin J Am Soc Nephrol	Benzodiazepines, Codispensed Opioids, and Mortality among Patients Initiating Long-Term In-Center Hemodialysis
428	32502285	2020	Vest LS	Clin Transplant	Prescription patterns of opioids and non-steroidal anti-inflammatory drugs in the first year after living kidney donation: An analysis of U.S. Registry and Pharmacy fill records
429	32502313	2020	Kates OS	Am J Transplant	"Emerging evidence to support not always ""just saying no"" to SARS-CoV-2 positive donors"
430	32510628	2020	Lam NN	Clin Transplant	Outcome implications of benzodiazepine and opioid co-prescription in kidney transplant recipients
431	32515544	2020	Massie AB	Am J Transplant	Identifying scenarios of benefit or harm from kidney transplantation during the COVID-19 pandemic: A stochastic simulation and machine learning study
432	32524764	2020	Al Ammary F	Am J Transplant	The first increase in live kidney donation in the United States in 15 years
433	32535833	2020	Eccher A	J Nephrol	Donor-transmitted cancer in kidney transplant recipients: a systematic review
434	32594606	2020	Boyarsky BJ	Am J Transplant	Early national and center-level changes to kidney transplantation in the United States during the COVID-19 epidemic
435	32649866	2020	Durand CM	Lancet HIV	Allogeneic bone marrow transplantation with post-transplant cyclophosphamide for patients with HIV and haematological malignancies: a feasibility study
436	32652700	2020	Weeks SR	Clin Transplant	Steroid-sparing maintenance immunosuppression is safe and effective after simultaneous liver-kidney transplantation
437	32654891	2020	Qian JZ	Am J Kidney Dis	Arteriovenous Fistula Placement, Maturation, and Patency Loss in Older Patients Initiating Hemodialysis
438	32695395	2020	Van Pilsum Rasmussen SE	SAGE Open Med	Psychosocial factors and medication adherence among recipients of vascularized composite allografts
439	32701595	2020	Wilkinson TJ	Curr Opin Nephrol Hypertens	Advances in exercise therapy in predialysis chronic kidney disease, hemodialysis, peritoneal dialysis, and kidney transplantation
440	32730756	2020	Bonny TS	Lancet HIV	Outcomes of donor-derived superinfection screening in HIV-positive to HIV-positive kidney and liver transplantation: a multicentre, prospective, observational study
441	32791046	2020	Ambinder RF	Lancet HIV	Haemopoietic cell transplantation in patients living with HIV
442	32808320	2020	Lentine KL	Clin Transplant	Care of international living kidney donor candidates in the United States: A survey of contemporary experience, practice, and challenges
443	32810365	2020	Van Pilsum Rasmussen SE	Clin Transplant	Public education materials about Vascular Composite Allotransplantation and donation in the United States: Current scope and limitations
444	32852554	2020	Purnell TS	JAMA Netw Open	National Trends in the Association of Race and Ethnicity With Predialysis Nephrology Care in the United States From 2005 to 2015
445	32860307	2020	Strauss AT	Am J Transplant	Impact of the COVID-19 pandemic on commercial airlines in the United States and implications for the kidney transplant community
446	32883245	2020	McAdams-DeMarco MA	BMC Nephrol	Interventions Made to Preserve Cognitive Function Trial (IMPCT) study protocol: a multi-dialysis center 2x2 factorial randomized controlled trial of intradialytic cognitive and exercise training to preserve cognitive function
447	32996170	2020	Bae S	Transpl Int	Machine learning to predict transplant outcomes: helpful or hype? A national cohort study
448	33048372	2020	Lentine KL	Clin Transplant	Hydroxychloroquine and maintenance immunosuppression use in kidney transplant recipients: Analysis of linked US registry and claims data
449	33048385	2020	Wang L	Clin Transplant	Induction immunosuppression and the risk of incident malignancies among older and younger kidney transplant recipients: A prospective cohort study
450	33057387	2020	Baksh SN	PLoS One	Dipeptidyl peptidase-4 inhibitors and cardiovascular events in patients with type 2 diabetes, without cardiovascular or renal disease
451	33167882	2020	Levan ML	BMC Nephrol	Financial incentives versus standard of care to improve patient compliance with live kidney donor follow-up: protocol for a multi-center, parallel-group randomized controlled trial
452	32235255	2021	Jackson KR	Transplantation	Center-level Variation in HLA-incompatible Living Donor Kidney Transplantation Outcomes
453	32475718	2021	Sutton W	Surgery	Understanding surgical decision-making in older adults with differentiated thyroid cancer: A discrete choice experiment
454	32491208	2021	Kardashian A	Hepatology	Identifying an Optimal Liver Frailty Index Cutoff to Predict Waitlist Mortality in Liver Transplant Candidates
455	32506639	2021	Jackson KR	Am J Transplant	Characterizing the landscape and impact of infections following kidney transplantation
456	32659036	2021	Yu S	Am J Transplant	Survival benefit of accepting kidneys from older donation after cardiac death donors
457	32681603	2021	Werbel WA	Am J Transplant	Early steroid withdrawal in HIV-infected kidney transplant recipients: Utilization and outcomes
458	32701209	2021	Durand CM	Am J Transplant	A prospective multicenter pilot study of HIV-positive deceased donor to HIV-positive recipient kidney transplantation: HOPE in action
459	32781106	2021	Raynaud M	Kidney Int	Trajectories of glomerular filtration rate and progression to end stage kidney disease after kidney transplantation
460	32808468	2021	Karami F	Am J Transplant	Allocating kidneys in optimized heterogeneous circles
461	32949093	2021	Avery RK	Am J Transplant	Quantifying infection risks in incompatible living donor kidney transplant recipients
462	32980942	2021	Charnaya O	Pediatr Nephrol	Effects of COVID-19 pandemic on pediatric kidney transplant in the United States
463	33093404	2021	Bae S	Transplantation	Early Changes in Kidney Transplant Immunosuppression Regimens During the COVID-19 Pandemic
464	33107180	2021	Strauss AT	Am J Transplant	Liver transplantation in the United States during the COVID-19 pandemic: National and center-level responses
465	33214534	2021	Lentine KL	Transplantation	Immunosuppression Regimen Use and Outcomes in Older and Younger Adult Kidney Transplant Recipients: A National Registry Analysis
466	33259086	2021	Bae S	Clin Transplant	Inconsistencies in the association of clinical factors with the choice of early steroid withdrawal across kidney transplant centers: A national registry study
467	33277801	2021	Peters MG	Am J Transplant	Retrospective-prospective study of safety and efficacy of sofosbuvir-based direct-acting antivirals in HIV/HCV-coinfected participants with decompensated liver disease pre- or post-liver transplant
468	33284498	2021	Avery RK	Am J Transplant	Inpatient COVID-19 outcomes in solid organ transplant recipients compared to non-solid organ transplant patients: A retrospective cohort
469	33314321	2021	de Paula MI	Transpl Int	Decreased incidence of acute rejection without increased incidence of cytomegalovirus (CMV) infection in kidney transplant recipients receiving rabbit anti-thymocyte globulin without CMV prophylaxis - a cohort single-center study
470	33349940	2021	Heldman MR	Clin Transplant	Healthcare resource use among solid organ transplant recipients hospitalized with COVID-19
471	33370501	2021	Kates OS	Am J Transplant	The limits of refusal: An ethical review of solid organ transplantation and vaccine hesitancy
472	33370502	2021	Motter JD	Am J Transplant	Delayed graft function and acute rejection following HLA-incompatible living donor kidney transplantation
473	33534525	2021	Mathur A	Transplantation	Association Between Treatment of Secondary Hyperparathyroidism and Posttransplant Outcomes
474	33559349	2021	Boyarsky BJ	Am J Transplant	"Response to ""The real number of organs from uncontrolled donation after circulatory determination of death donors"""
475	33570795	2021	Messner F	Transpl Int	Recipient age and outcome after pancreas transplantation: a retrospective dual-center analysis
476	33622271	2021	Daubresse M	BMC Nephrol	High-dose opioid utilization and mortality among individuals initiating hemodialysis
477	33647551	2021	Girolami I	Transplant Rev (Orlando)	Discovered cancers at postmortem donor examination: A starting point for quality improvement of donor assessment
478	33846078	2021	Lentine KL	J Heart Lung Transplant	Survival implications of prescription opioid and benzodiazepine use in lung transplant recipients: Analysis of linked transplant registry and pharmacy fill records
